title,content,url,source,published_date
Petugas SE2026 di Makassar Hadapi Kendala Akses Wilayah Terpencil,"Sejumlah petugas SE2026 di Makassar melaporkan kendala akses menuju kawasan usaha di wilayah dengan infrastruktur jalan kurang memadai. Cuaca ekstrem di beberapa titik turut menjadi tantangan tambahan bagi petugas lapangan. BPS menyatakan tengah menyiapkan skema tambahan waktu dan dukungan logistik bagi petugas di wilayah sulit dijangkau. ""Kami sedang kaji penyediaan perangkat pendukung koneksi tambahan untuk wilayah seperti ini,"" kata perwakilan BPS. BPS optimistis kendala ini tidak akan mengganggu target penyelesaian secara keseluruhan.",,Katadata,2026-04-01
Petugas SE2026 Mulai Turun ke Lapangan di Sumenep,"Ribuan petugas mulai turun ke lapangan di Sumenep untuk melakukan pendataan unit usaha menggunakan aplikasi CAPI. Proses pencacahan tahap awal ini ditargetkan rampung dalam beberapa bulan ke depan sesuai jadwal nasional. BPS Sumenep mengerahkan 120 ribu petugas untuk menjangkau seluruh wilayah kerja yang telah dipetakan sebelumnya. ""Prosesnya cepat, cuma ditanya beberapa hal soal usaha,"" ujar salah satu pelaku usaha di Sumenep yang baru saja didata. Tahap pencacahan akan terus berlangsung hingga seluruh unit usaha di Sumenep tercakup.",,Tempo,2026-04-28
Sejumlah Kendala Warnai Pencacahan SE2026 di Balikpapan,"Petugas SE2026 di Balikpapan mengaku kesulitan mengunggah data akibat koneksi internet yang tidak stabil. BPS menyatakan tengah menyiapkan skema tambahan waktu dan dukungan logistik bagi petugas di wilayah sulit dijangkau. Cuaca ekstrem di beberapa titik turut menjadi tantangan tambahan bagi petugas lapangan. ""Kadang kami harus jalan kaki cukup jauh karena kendaraan tidak bisa masuk,"" ujar salah satu petugas SE2026 di Balikpapan. BPS optimistis kendala ini tidak akan mengganggu target penyelesaian secara keseluruhan.",,Merdeka.com,2026-04-03
Medan Mulai Tahap Pencacahan Sensus Ekonomi 2026,"BPS resmi memulai tahap pencacahan lapangan Sensus Ekonomi 2026 di Medan, dengan petugas mulai mendatangi unit usaha dari rumah ke rumah dan sentra usaha. BPS Medan mengerahkan 1,8 juta petugas untuk menjangkau seluruh wilayah kerja yang telah dipetakan sebelumnya. Setiap unit usaha yang terdata akan mendapatkan tanda bukti telah mengikuti proses sensus. ""Kami targetkan seluruh wilayah tercakup sebelum akhir semester pertama,"" kata Kepala BPS Medan. BPS mengimbau pelaku usaha untuk kooperatif saat didatangi petugas resmi bertanda pengenal.",,Jawa Pos,2026-04-19
Petugas SE2026 Mulai Turun ke Lapangan di Makassar,"Ribuan petugas mulai turun ke lapangan di Makassar untuk melakukan pendataan unit usaha menggunakan aplikasi CAPI. Setiap unit usaha yang terdata akan mendapatkan tanda bukti telah mengikuti proses sensus. Proses pencacahan tahap awal ini ditargetkan rampung dalam beberapa bulan ke depan sesuai jadwal nasional. ""Kami targetkan seluruh wilayah tercakup sebelum akhir semester pertama,"" kata Kepala BPS Makassar. Tahap pencacahan akan terus berlangsung hingga seluruh unit usaha di Makassar tercakup.",,Tribunnews,2026-04-13
Sinyal Internet Jadi Kendala Petugas SE2026 di Lamongan,"Sejumlah petugas SE2026 di Lamongan melaporkan kendala akses menuju kawasan usaha di wilayah dengan infrastruktur jalan kurang memadai. Sebagai solusi sementara, petugas diarahkan menyimpan data secara offline terlebih dahulu dan menyinkronkannya begitu sinyal tersedia. Kondisi ini berpotensi memperlambat penyelesaian target pencacahan di beberapa kecamatan. ""Kami sedang kaji penyediaan perangkat pendukung koneksi tambahan untuk wilayah seperti ini,"" kata perwakilan BPS. BPS optimistis kendala ini tidak akan mengganggu target penyelesaian secara keseluruhan.",,Infobank,2026-04-16
Warga Surabaya Beri Respons Positif Proses Pendataan SE2026,"Sejumlah pedagang di Surabaya menyambut antusias kedatangan petugas Sensus Ekonomi 2026 yang mendata usaha mereka. Interaksi yang ramah antara petugas dan responden dinilai membantu kelancaran proses pendataan di lapangan. Mereka menilai proses pendataan berjalan singkat dan tidak mengganggu aktivitas berjualan sehari-hari. ""Awalnya was-was, tapi ternyata santai kok prosesnya,"" kata pemilik warung makan di Surabaya. Respons positif ini diharapkan mempercepat penyelesaian tahap pencacahan di wilayah Surabaya.",,Kompas.com,2026-04-27
Akademisi: SE2026 di Bangkalan Penting untuk Kebijakan Ekonomi Lokal,"Sejumlah lembaga perbankan di Bangkalan menyatakan kesiapan memanfaatkan hasil SE2026 untuk memetakan potensi pembiayaan UMKM. Akademisi menilai SE2026 relevan untuk memetakan ulang struktur ekonomi yang banyak berubah sejak pandemi, termasuk pertumbuhan usaha digital. Sinergi antar-sektor dinilai penting agar hasil sensus benar-benar dimanfaatkan secara optimal oleh pengambil kebijakan. ""Data granular ini akan sangat membantu kami menyalurkan kredit lebih tepat sasaran,"" ujar perwakilan perbankan di Bangkalan. Kolaborasi lintas sektor ini diharapkan terus berlanjut hingga hasil SE2026 dirilis resmi.",,Madura Pos,2026-04-05
Petugas SE2026 di Blitar Hadapi Kendala Akses Wilayah Terpencil,"Sejumlah petugas SE2026 di Blitar melaporkan kendala akses menuju kawasan usaha di wilayah dengan infrastruktur jalan kurang memadai. Sebagai solusi sementara, petugas diarahkan menyimpan data secara offline terlebih dahulu dan menyinkronkannya begitu sinyal tersedia. Cuaca ekstrem di beberapa titik turut menjadi tantangan tambahan bagi petugas lapangan. ""Kadang kami harus jalan kaki cukup jauh karena kendaraan tidak bisa masuk,"" ujar salah satu petugas SE2026 di Blitar. Petugas tetap didorong menyelesaikan wilayah kerjanya sesuai jadwal yang telah ditetapkan.",,Sindonews,2026-04-07
Akademisi: SE2026 di Lamongan Penting untuk Kebijakan Ekonomi Lokal,"Sejumlah lembaga perbankan di Lamongan menyatakan kesiapan memanfaatkan hasil SE2026 untuk memetakan potensi pembiayaan UMKM. Sinergi antar-sektor dinilai penting agar hasil sensus benar-benar dimanfaatkan secara optimal oleh pengambil kebijakan. Ketua asosiasi UMKM daerah menilai data yang dihasilkan nantinya akan sangat membantu dunia usaha mengakses program pembiayaan. ""Data granular ini akan sangat membantu kami menyalurkan kredit lebih tepat sasaran,"" ujar perwakilan perbankan di Lamongan. Kolaborasi lintas sektor ini diharapkan terus berlanjut hingga hasil SE2026 dirilis resmi.",,Warta Ekonomi,2026-04-23
Pelaku Usaha di Tuban Sambut Antusias Petugas SE2026,"Sejumlah pedagang di Tuban menyambut antusias kedatangan petugas Sensus Ekonomi 2026 yang mendata usaha mereka. Sebagian pelaku usaha bahkan mengaku baru memahami manfaat sensus setelah berbincang langsung dengan petugas. Interaksi yang ramah antara petugas dan responden dinilai membantu kelancaran proses pendataan di lapangan. ""Petugasnya sopan dan prosesnya cepat, cuma ditanya beberapa hal soal usaha,"" ujar salah satu pedagang sembako di Tuban. BPS berharap sambutan serupa terus terjadi di wilayah-wilayah lain yang belum dicacah.",,CNBC Indonesia,2026-04-15
Petugas SE2026 Mulai Turun ke Lapangan di Lumajang,"Ribuan petugas mulai turun ke lapangan di Lumajang untuk melakukan pendataan unit usaha menggunakan aplikasi CAPI. BPS Lumajang mengerahkan 620 ribu petugas untuk menjangkau seluruh wilayah kerja yang telah dipetakan sebelumnya. Proses pencacahan tahap awal ini ditargetkan rampung dalam beberapa bulan ke depan sesuai jadwal nasional. ""Prosesnya cepat, cuma ditanya beberapa hal soal usaha,"" ujar salah satu pelaku usaha di Lumajang yang baru saja didata. Tahap pencacahan akan terus berlangsung hingga seluruh unit usaha di Lumajang tercakup.",,Merdeka.com,2026-04-18
Petugas SE2026 di Yogyakarta Hadapi Kendala Akses Wilayah Terpencil,"Petugas SE2026 di Yogyakarta mengaku kesulitan mengunggah data akibat koneksi internet yang tidak stabil. BPS menyatakan tengah menyiapkan skema tambahan waktu dan dukungan logistik bagi petugas di wilayah sulit dijangkau. Kondisi ini berpotensi memperlambat penyelesaian target pencacahan di beberapa kecamatan. ""Kadang kami harus jalan kaki cukup jauh karena kendaraan tidak bisa masuk,"" ujar salah satu petugas SE2026 di Yogyakarta. Petugas tetap didorong menyelesaikan wilayah kerjanya sesuai jadwal yang telah ditetapkan.",,Validnews,2026-04-06
Sejumlah Kendala Warnai Pencacahan SE2026 di Sidoarjo,"Sejumlah petugas SE2026 di Sidoarjo melaporkan kendala akses menuju kawasan usaha di wilayah dengan infrastruktur jalan kurang memadai. Sebagai solusi sementara, petugas diarahkan menyimpan data secara offline terlebih dahulu dan menyinkronkannya begitu sinyal tersedia. Cuaca ekstrem di beberapa titik turut menjadi tantangan tambahan bagi petugas lapangan. ""Kadang kami harus jalan kaki cukup jauh karena kendaraan tidak bisa masuk,"" ujar salah satu petugas SE2026 di Sidoarjo. BPS optimistis kendala ini tidak akan mengganggu target penyelesaian secara keseluruhan.",,Berita Satu,2026-04-09
Probolinggo Mulai Tahap Pencacahan Sensus Ekonomi 2026,"Ribuan petugas mulai turun ke lapangan di Probolinggo untuk melakukan pendataan unit usaha menggunakan aplikasi CAPI. Setiap unit usaha yang terdata akan mendapatkan tanda bukti telah mengikuti proses sensus. Proses pencacahan tahap awal ini ditargetkan rampung dalam beberapa bulan ke depan sesuai jadwal nasional. ""Kami targetkan seluruh wilayah tercakup sebelum akhir semester pertama,"" kata Kepala BPS Probolinggo. BPS mengimbau pelaku usaha untuk kooperatif saat didatangi petugas resmi bertanda pengenal.",,Radar Madura,2026-04-16
Petugas SE2026 di Bekasi Hadapi Kendala Akses Wilayah Terpencil,"Sejumlah petugas SE2026 di Bekasi melaporkan kendala akses menuju kawasan usaha di wilayah dengan infrastruktur jalan kurang memadai. Cuaca ekstrem di beberapa titik turut menjadi tantangan tambahan bagi petugas lapangan. Kondisi ini berpotensi memperlambat penyelesaian target pencacahan di beberapa kecamatan. ""Kadang kami harus jalan kaki cukup jauh karena kendaraan tidak bisa masuk,"" ujar salah satu petugas SE2026 di Bekasi. Petugas tetap didorong menyelesaikan wilayah kerjanya sesuai jadwal yang telah ditetapkan.",,CNBC Indonesia,2026-04-22
Perbankan di Medan Siap Manfaatkan Data SE2026 untuk Pembiayaan UMKM,"Sejumlah lembaga perbankan di Medan menyatakan kesiapan memanfaatkan hasil SE2026 untuk memetakan potensi pembiayaan UMKM. Data granular by name by address dari sensus dinilai dapat mempercepat proses analisis kelayakan usaha calon debitur. Akademisi menilai SE2026 relevan untuk memetakan ulang struktur ekonomi yang banyak berubah sejak pandemi, termasuk pertumbuhan usaha digital. ""Data granular ini akan sangat membantu kami menyalurkan kredit lebih tepat sasaran,"" ujar perwakilan perbankan di Medan. BPS membuka ruang kerja sama dengan berbagai pihak untuk pemanfaatan data hasil sensus ke depan.",,Republika,2026-04-05
Petugas SE2026 Mulai Turun ke Lapangan di Pekanbaru,"BPS resmi memulai tahap pencacahan lapangan Sensus Ekonomi 2026 di Pekanbaru, dengan petugas mulai mendatangi unit usaha dari rumah ke rumah dan sentra usaha. Petugas mendatangi berbagai jenis usaha, mulai dari pedagang kaki lima, toko kelontong, hingga perusahaan skala menengah. BPS Pekanbaru mengerahkan 120 ribu petugas untuk menjangkau seluruh wilayah kerja yang telah dipetakan sebelumnya. ""Kami targetkan seluruh wilayah tercakup sebelum akhir semester pertama,"" kata Kepala BPS Pekanbaru. BPS mengimbau pelaku usaha untuk kooperatif saat didatangi petugas resmi bertanda pengenal.",,CNBC Indonesia,2026-04-01
Perbankan di Yogyakarta Siap Manfaatkan Data SE2026 untuk Pembiayaan UMKM,"Kalangan asosiasi pengusaha di Yogyakarta menyambut positif persiapan matang yang dilakukan BPS menjelang pelaksanaan SE2026. Akademisi menilai SE2026 relevan untuk memetakan ulang struktur ekonomi yang banyak berubah sejak pandemi, termasuk pertumbuhan usaha digital. Sinergi antar-sektor dinilai penting agar hasil sensus benar-benar dimanfaatkan secara optimal oleh pengambil kebijakan. ""Semakin lengkap data usaha, semakin mudah kami advokasi kebijakan yang berpihak ke UMKM,"" kata ketua asosiasi pengusaha Yogyakarta. Kolaborasi lintas sektor ini diharapkan terus berlanjut hingga hasil SE2026 dirilis resmi.",,Tribunnews,2026-04-19
Pelaku Usaha di Semarang Sambut Antusias Petugas SE2026,"Sejumlah pedagang di Semarang menyambut antusias kedatangan petugas Sensus Ekonomi 2026 yang mendata usaha mereka. Mereka menilai proses pendataan berjalan singkat dan tidak mengganggu aktivitas berjualan sehari-hari. Interaksi yang ramah antara petugas dan responden dinilai membantu kelancaran proses pendataan di lapangan. ""Awalnya was-was, tapi ternyata santai kok prosesnya,"" kata pemilik warung makan di Semarang. BPS berharap sambutan serupa terus terjadi di wilayah-wilayah lain yang belum dicacah.",,Antara News,2026-04-15
